no,lng,lat,sites,hotel,name
98,-73.9344659,40.8171783,,N,
99,-74.0067668,40.7217241,,N,
100,-74.0079995,40.7211998,,N,
101,-74.0078146,40.7209099,,N,
102,-74.0075453,40.7208183,,N,
103,-74.0082309,40.7219848,,N,
104,-73.964694,40.7916758,,N,
105,-73.9352393,40.8295918,,N,
106,-73.9355839,40.8305218,,N,
107,-73.9363638,40.8304127,,N,
108,-74.008466,40.7206456,,N,
109,-74.0079297,40.7237578,,N,
110,-74.0070994,40.7244054,,N,
111,-73.9768477,40.7146195,,N,
112,-73.9592658,40.7593001,,N,
113,-73.9594899,40.8202619,,N,
114,-73.9570228,40.8232976,,N,
115,-73.9601312,40.8197265,,N,
116,-73.9610583,40.8186803,,N,
117,-73.9618103,40.8180007,,N,
118,-73.9355669,40.8069238,,N,
119,-73.9349387,40.80669,,N,
120,-73.9948115,40.7576654,,N,
121,-73.9698495,40.784623,,N,
122,-74.0059302,40.7244132,,N,
123,-73.967223,40.8105617,,N,
124,-73.9610256,40.8176607,,N,
125,-73.977917,40.715649,,N,
126,-73.9529821,40.7917218,,N,
127,-73.9841323,40.7856025,,N,
128,-73.9641772,40.7923773,,N,
129,-73.9596517,40.8203291,,N,
130,-73.9760092,40.7954937,,N,
131,-73.9348645,40.8282864,,N,
132,-73.9344443,40.8158343,,N,
133,-73.9343888,40.814759,,N,
134,-73.9628541,40.7942085,,N,
135,-73.929126,40.7993152,,N,
136,-73.9312143,40.8034625,,N,
137,-73.93598,40.8310238,,N,
138,-73.930985,40.8668739,,N,
139,-74.0005026,40.7143955,,N,
140,-73.9318334,40.8692662,,N,
141,-74.0075216,40.7239092,,N,
142,-74.0074947,40.723454,,N,
143,-73.9323444,40.8039382,,N,
144,-73.952396,40.7982188,,N,
145,-73.9515065,40.7602431,,N,
146,-73.9376003,40.8337341,,N,
147,-74.0128371,40.7024415,,N,
148,-73.9303673,40.8025637,,N,
149,-73.9367868,40.7923959,,N,
150,-73.9354669,40.834924,,N,
151,-73.9758273,40.7472955,,N,
152,-73.9692725,40.74693,,N,
153,-73.974504,40.7374172,,N,
154,-73.9749044,40.7369776,,N,
155,-73.9479808,40.7624373,,N,
156,-73.949099,40.7629715,,N,
157,-73.9348501,40.806301,,N,
158,-73.9342503,40.8179047,,N,
159,-73.9343644,40.8188825,,N,
160,-73.9367296,40.7904084,,N,
161,-73.9311538,40.847737,,N,
162,-73.9521462,40.7652696,,N,
163,-73.9510157,40.7665323,,N,
164,-73.9558339,40.7566077,,N,
165,-73.9441039,40.8353715,,N,
166,-73.9445746,40.8363811,,N,
167,-73.9442977,40.8370771,,N,
168,-73.9440172,40.8377866,,N,
169,-73.9437512,40.8384634,,N,
170,-73.943465,40.839174,,N,
171,-73.9430682,40.8401941,,N,
172,-73.9422847,40.8421541,,N,
173,-73.9420178,40.8428216,,N,
174,-73.9416342,40.8434507,,N,
175,-73.9411456,40.8440509,,N,
176,-73.9408022,40.844695,,N,
177,-73.9405244,40.8453757,,N,
178,-73.9402488,40.8460446,,N,
179,-73.9400565,40.8465308,,N,
180,-73.9397798,40.8472122,,N,
181,-73.9395229,40.847842,,N,
182,-73.9386594,40.8499781,,N,
183,-73.938284,40.850909,,N,
184,-73.937819,40.852128,,N,
185,-73.937435,40.85338,,N,
186,-73.9369042,40.8551136,,N,
187,-73.935602,40.857109,,N,
188,-74.0058474,40.7116883,,N,
189,-74.0042501,40.710185,,N,
190,-74.0064696,40.706993,,N,
191,-74.005691,40.706375,,N,
192,-74.0052131,40.7059974,,N,
193,-74.0044743,40.705408,,N,
194,-74.0035719,40.7135983,,N,
195,-74.0021328,40.715168,,N,
196,-74.0016876,40.7157533,,N,
197,-74.000818,40.71693,,N,
198,-74.000274,40.717619,,N,
199,-73.9999554,40.718016,,N,
200,-73.9994292,40.7186723,,N,
201,-73.999234,40.718913,,N,
202,-73.9985112,40.7198029,,N,
203,-73.997655,40.720836,,N,
204,-73.9842558,40.7152112,,N,
205,-73.9836386,40.7161377,,N,
206,-73.9833624,40.7166776,,N,
207,-73.9831071,40.717175,,N,
208,-73.9825206,40.7183141,,N,
209,-73.9819415,40.7194618,,N,
210,-73.9813453,40.7206496,,N,
211,-73.9909583,40.7396792,,N,
212,-73.9941671,40.7410305,,N,
