no,lng,lat,sites,hotel,name
208,-87.6277563,41.8807478,,N,
209,-87.626149,41.8807999,,N,
210,-87.6261752,41.8820774,,N,
211,-87.6278139,41.8820313,,N,
212,-87.6262098,41.8832376,,N,
213,-87.6262394,41.8844892,,N,
214,-87.6192222,41.8672019,,N,
215,-87.6337573,41.8793838,,N,
216,-87.6337925,41.8806533,,N,
217,-87.6338274,41.8819337,,N,
218,-87.6338646,41.8832202,,N,
219,-87.6338964,41.8844669,,N,
220,-87.6295032,41.8857463,,N,
221,-87.6241251,41.8925288,,N,
222,-87.6314063,41.8081937,,N,
223,-87.6309209,41.8245383,,N,
224,-87.6300642,41.8238519,,N,
225,-87.5652055,41.7344266,,N,
226,-87.6483328,41.8457406,,N,
227,-87.6103629,41.8433761,,N,
228,-87.610731,41.8434604,,N,
229,-87.6077205,41.8350594,,N,
230,-87.6027483,41.8280373,,N,
231,-87.599163,41.8224627,,N,
232,-87.5875209,41.8086785,,N,
233,-87.5854237,41.8064789,,N,
234,-87.5815753,41.8011182,,N,
235,-87.5758275,41.7778169,,N,
236,-87.6293895,41.8819845,,N,
237,-87.6308622,41.8819716,,N,
238,-87.6323498,41.8819568,,N,
239,-87.6293513,41.8807072,,N,
240,-87.6308186,41.8806899,,N,
241,-87.6323056,41.8806716,,N,
242,-87.6322616,41.879399,,N,
243,-87.6307764,41.8794134,,N,
244,-87.6293112,41.8794337,,N,
245,-87.6278512,41.8832359,,N,
246,-87.62789,41.8844873,,N,
247,-87.6294557,41.8844814,,N,
248,-87.629428,41.8832279,,N,
249,-87.6308983,41.8832279,,N,
250,-87.6309307,41.8844764,,N,
251,-87.632405,41.883224,,N,
252,-87.6295357,41.8869362,,N,
253,-87.6310166,41.8869432,,N,
254,-87.6324988,41.8869468,,N,
255,-87.6677316,41.9616134,,N,
256,-87.6675137,41.954316,,N,
257,-87.6354234,41.8869039,,N,
258,-87.6369683,41.8857338,,N,
259,-87.6370802,41.8844606,,N,
260,-87.6370471,41.8832051,,N,
261,-87.6280621,41.8868031,,N,
262,-87.6295349,41.8868056,,N,
