no,lng,lat,sites,hotel,name
64,-89.7710349,35.1264391,,N,
65,-89.9585255,35.1710939,,N,
66,-89.9584747,35.1737774,,N,
67,-89.9584249,35.1747452,,N,
68,-89.9582665,35.1778629,,N,
69,-89.9583565,35.1751759,,N,
70,-89.8041227,35.1605398,,N,
71,-89.8030249,35.1608281,,N,
72,-90.0114755,35.1166369,,N,
73,-90.0118595,35.1167749,,N,
74,-89.931344,35.2029381,,N,
75,-89.9313724,35.2033046,,N,
76,-89.9313618,35.2038067,,N,
77,-89.9313711,35.204111,,N,
78,-90.089879,35.0016914,,N,
79,-90.089925,35.0014934,,N,
80,-90.0080916,35.1884809,,N,
81,-89.9660899,35.1502614,,N,
82,-89.9670354,35.1504329,,N,
83,-89.9826467,35.171986,,N,
84,-89.983608,35.172021,,N,
85,-89.8953737,35.0849009,,N,
86,-89.8943873,35.0842459,,N,
87,-89.8921608,35.0828225,,N,
88,-89.8927467,35.0825184,,N,
89,-90.0141005,35.0651802,,N,
90,-90.0139028,35.0651866,,N,
91,-90.013345,35.0650939,,N,
92,-90.0233775,35.1300379,,N,
93,-89.9300351,35.062267,,N,
94,-90.0041548,35.0196732,,N,
95,-90.0044566,35.0210398,,N,
96,-90.0030014,35.0210296,,N,
97,-89.9844978,35.0746969,,N,
98,-90.0264636,35.0768854,,N,
99,-89.9201957,35.0515029,,N,
100,-89.9202152,35.05055,,N,
101,-90.0277694,35.1087533,,N,
102,-89.894782,35.2244125,,N,
103,-89.8940604,35.2244523,,N,
104,-89.8664329,35.0399748,,N,
105,-90.0203201,35.2031449,,N,
106,-90.0200254,35.2030599,,N,
107,-89.8569078,35.1539939,,N,
108,-89.8571006,35.1552988,,N,
109,-89.852364,35.1556814,,N,
110,-89.8522473,35.1547633,,N,
111,-89.8523931,35.1545201,,N,
112,-89.868619,35.1037714,,N,
113,-89.8697675,35.1040245,,N,
114,-89.8842266,35.1528247,,N,
115,-89.9511597,35.0765585,,N,
116,-89.952986,35.0753903,,N,
117,-89.9542189,35.0687564,,N,
118,-89.8125736,35.1731418,,N,
119,-89.8120844,35.1731368,,N,
120,-89.8119206,35.1764688,,N,
121,-89.9154569,35.0394239,,N,
122,-89.9196294,35.0371094,,N,
123,-89.8358808,35.0679023,,N,
124,-89.8360814,35.068179,,N,
125,-90.0277613,35.1093763,,N,
126,-89.7976995,35.2027251,,N,
127,-89.9034535,35.0510379,,N,
128,-89.9034938,35.0505115,,N,
129,-89.9034902,35.0501606,,N,
