start,end,length
41,53067,79.735
53067,41,79.735
42,43,271.01500000000004
42,1757,80.0
43,44947,129.93
43,1630,79.952
44,45,127.523
44,421,79.182
45,813,79.78099999999999
813,45,79.78099999999999
45,814,78.857
814,45,78.857
46,1759,90.335
1759,46,90.335
46,1631,90.475
1631,46,90.475
47,44877,30.164
44877,47,30.164
48,41574,25.311
41574,48,25.311
50,51,118.83199999999998
50,362,46.185
52,52467,86.85300000000001
52,2751,36.487
53,54,72.39099999999999
53,49718,56.54
54,55,80.472
55,42497,358.05400000000003
56,735,85.68100000000001
57,42294,341.47599999999994
58,51209,103.14599999999999
58,49798,165.23399999999998
49798,58,165.23399999999998
58,42299,15.532
42299,58,15.532
59,3161,1005.2769999999999
60,42497,260.646
61,3154,97.88799999999999
62,54209,18.782
54209,62,18.782
62,311,88.02000000000001
311,62,88.02000000000001
62,806,142.72199999999998
806,62,142.72199999999998
63,3025,79.938
63,2826,147.21699999999998
64,55256,9.4
64,1287,78.925
65,2886,71.337
66,3040,29.703
66,42472,274.357
67,54209,275.96600000000007
67,59,544.4730000000001
68,2598,141.016
68,1593,84.377
1593,68,84.377
68,2206,86.007
2206,68,86.007
69,43904,44.358999999999995
43904,69,44.358999999999995
69,2207,77.963
2207,69,77.963
70,72,68.388
70,71,90.931
71,1193,14.631
71,143,82.49499999999999
72,55,76.472
72,42499,195.0
42499,72,195.0
72,2288,16.231
2288,72,16.231
73,55185,21.108
73,1723,176.22400000000002
1723,73,176.22400000000002
74,42467,271.057
75,42469,732.3910000000001
76,50367,3.421
76,77,116.857
77,949,63.845
949,77,63.845
77,50372,82.57
50372,77,82.57
78,2900,114.753
78,65,530.577
79,80,84.96600000000001
79,47929,153.064
47929,79,153.064
79,1031,76.82000000000001
1031,79,76.82000000000001
80,3107,151.16400000000002
80,49595,46.135999999999996
81,45982,252.512
81,45981,246.57299999999998
82,50154,164.867
50154,82,164.867
82,1986,83.08900000000001
83,3108,135.391
83,52780,80.137
84,153,117.78
85,87,59.343999999999994
86,2612,79.95
86,54621,170.254
87,3087,1940.49
88,42589,95.982
88,2611,78.433
89,42493,236.89
89,50464,28.95
90,43872,121.56199999999998
43872,90,121.56199999999998
90,800,115.65599999999999
800,90,115.65599999999999
90,998,88.493
998,90,88.493
91,42484,36.203
91,2253,79.487
92,2730,131.137
2730,92,131.137
92,93,116.47200000000001
93,160,533.307
94,95,122.072
94,50296,101.82499999999999
95,1823,241.86899999999997
96,41420,21.22
96,47147,60.698
97,1830,274.03299999999996
1830,97,274.03299999999996
98,43825,29.651
98,43826,65.77199999999999
99,103,132.781
99,100,133.751
100,108,88.47699999999999
100,101,36.784000000000006
101,49776,92.95399999999998
101,102,25.113999999999997
102,49242,102.43800000000002
102,50463,158.67999999999995
103,1454,130.498
103,1500,73.918
104,853,168.435
104,2313,274.625
2313,104,274.625
104,128,89.324
128,104,89.324
104,1315,86.04599999999999
1315,104,86.04599999999999
105,131,148.857
105,43818,146.11700000000002
106,105,110.53200000000001
107,51087,18.644
107,43819,158.03300000000002
43819,107,158.03300000000002
108,1272,131.053
108,1490,76.813
108,49776,134.887
109,110,100.57199999999999
109,2072,88.095
110,77,12.466
111,73,164.293
112,275,78.256
275,112,78.256
112,49592,134.546
112,2734,79.59100000000001
2734,112,79.59100000000001
113,129,15.531
113,114,401.584
115,552,73.948
552,115,73.948
115,116,140.08100000000002
116,44825,29.968000000000004
117,49244,5.467
117,41643,353.956
118,43832,143.549
118,2692,79.80900000000001
119,42511,296.62699999999995
119,118,59.07
120,1255,86.462
120,2427,118.429
121,2308,274.18199999999996
121,53066,86.13
53066,121,86.13
122,76,72.66099999999999
124,53244,29.135
125,609,14.532
126,1849,80.544
127,54209,123.98499999999999
54209,127,123.98499999999999
128,2314,274.253
128,134,232.098
134,128,232.098
129,115,78.22099999999999
130,43885,86.15799999999999
43885,130,86.15799999999999
130,46637,18.417
131,159,1047.727
132,133,119.76500000000001
132,43823,204.131
133,42513,130.803
134,1316,82.751
1316,134,82.751
135,1628,485.8979999999999
135,52468,297.49999999999994
136,52662,120.93999999999998
137,42514,30.471
138,895,133.335
138,42523,156.19299999999998
139,53072,112.876
139,53074,93.49
53074,139,93.49
140,42521,33.213
42521,140,33.213
