start,end,length
2751,104,349.537
104,3527,262.28999999999996
3527,104,262.28999999999996
104,2823,344.813
2823,104,344.813
105,106,28.395
106,105,28.395
105,16016,74.646
16016,105,74.646
105,16015,148.226
16015,105,148.226
107,108,146.354
108,107,146.354
107,207,200.536
207,107,200.536
107,21152,145.51299999999998
21152,107,145.51299999999998
108,20328,414.305
20328,108,414.305
108,164,163.51
164,108,163.51
109,110,102.638
110,109,102.638
109,20328,205.42399999999998
20328,109,205.42399999999998
109,23494,102.39399999999999
23494,109,102.39399999999999
110,111,30.116
111,110,30.116
110,19636,41.361000000000004
19636,110,41.361000000000004
111,206,181.20399999999998
206,111,181.20399999999998
111,19636,43.183
19636,111,43.183
112,113,108.203
112,19356,273.763
113,208,87.184
114,19249,354.085
114,19235,449.86000000000007
115,22722,52.619
22722,115,52.619
115,22721,53.342
22721,115,53.342
115,22718,82.511
22718,115,82.511
115,22719,57.764
22719,115,57.764
116,14010,2546.8849999999998
14010,116,2546.8849999999998
116,21613,733.1949999999998
21613,116,733.1949999999998
116,22723,126.567
22723,116,126.567
117,21611,58.812
21611,117,58.812
117,21613,64.497
21613,117,64.497
117,21614,62.43
21614,117,62.43
117,21610,53.595
21610,117,53.595
118,119,44.468
119,118,44.468
118,1416,23.835
1416,118,23.835
118,1415,47.331
1415,118,47.331
120,12200,80.549
12200,120,80.549
121,18914,44.768
121,19760,29.400000000000002
122,435,152.94400000000002
122,436,100.415
123,338,64.615
338,123,64.615
123,17827,182.627
17827,123,182.627
123,22875,65.942
124,13163,99.426
13163,124,99.426
124,18252,203.603
18252,124,203.603
124,123,36.841
125,13579,31.209000000000003
126,6308,439.24099999999993
6308,126,439.24099999999993
127,23483,137.786
23483,127,137.786
127,1832,155.029
1832,127,155.029
128,129,39.02
129,128,39.02
128,127,58.647999999999996
129,130,88.553
130,129,88.553
129,10637,52.467
10637,129,52.467
130,17778,59.07
17778,130,59.07
130,14430,136.885
14430,130,136.885
131,18792,125.18599999999999
131,5482,321.101
5482,131,321.101
132,19193,341.803
132,19196,728.115
132,19199,32.739000000000004
19199,132,32.739000000000004
133,22733,49.709
22733,133,49.709
133,3194,71.521
3194,133,71.521
133,20105,123.165
134,5695,83.858
5695,134,83.858
134,133,105.232
135,136,379.099
136,135,379.099
135,19519,2164.0209999999997
19519,135,2164.0209999999997
135,8362,650.1139999999999
8362,135,650.1139999999999
136,23799,13.241
23799,136,13.241
136,22294,651.9549999999999
22294,136,651.9549999999999
137,23799,358.135
23799,137,358.135
138,139,62.715
139,138,62.715
138,22850,92.965
22850,138,92.965
139,11214,127.791
11214,139,127.791
140,18979,491.57400000000007
141,264,127.978
141,140,87.364
142,23911,36.349000000000004
143,18970,249.38600000000002
144,156,219.118
156,144,219.118
144,330,151.538
330,144,151.538
144,143,97.662
145,156,263.898
145,144,107.84899999999999
146,10552,262.068
10552,146,262.068
146,19836,63.739000000000004
19836,146,63.739000000000004
147,22913,9.962
22913,147,9.962
147,22912,37.611000000000004
147,7189,211.577
7189,147,211.577
148,149,45.719
149,148,45.719
148,10672,115.013
10672,148,115.013
148,10673,198.80499999999998
10673,148,198.80499999999998
150,151,946.172
151,150,946.172
150,22062,964.8329999999999
22062,150,964.8329999999999
150,19632,2002.575
19632,150,2002.575
150,19626,1004.489
19626,150,1004.489
151,11672,29.577
11672,151,29.577
151,152,342.44100000000003
152,151,342.44100000000003
152,3912,935.6919999999999
3912,152,935.6919999999999
152,19634,389.302
19634,152,389.302
153,19410,283.43199999999996
153,18985,257.012
154,155,47.081
155,154,47.081
154,9972,145.26999999999998
9972,154,145.26999999999998
154,19002,81.954
19002,154,81.954
155,783,95.09199999999998
783,155,95.09199999999998
156,143,256.646
156,3985,109.73899999999999
3985,156,109.73899999999999
157,197,238.965
157,18888,488.76199999999994
158,159,22.147
159,158,22.147
158,21768,78.856
21768,158,78.856
158,11586,85.604
11586,158,85.604
159,16912,115.732
16912,159,115.732
159,16913,269.711
16913,159,269.711
160,161,56.825
161,160,56.825
160,7479,188.522
7479,160,188.522
160,1578,76.458
1578,160,76.458
161,13006,188.264
13006,161,188.264
161,9059,119.69399999999999
9059,161,119.69399999999999
162,198,56.579
198,162,56.579
162,22828,242.847
162,23483,230.24
23483,162,230.24
163,18777,21.256
18777,163,21.256
163,18776,34.443
18776,163,34.443
164,165,108.144
165,164,108.144
164,20325,41.365
20325,164,41.365
165,23494,63.902
23494,165,63.902
165,20326,44.043
20326,165,44.043
166,167,98.697
167,166,98.697
166,8291,157.432
8291,166,157.432
166,7189,151.436
7189,166,151.436
167,3151,271.74899999999997
3151,167,271.74899999999997
167,13415,30.307
13415,167,30.307
168,23687,67.9
23687,168,67.9
168,169,147.471
169,168,147.471
168,23410,316.618
23410,168,316.618
169,7425,49.092
7425,169,49.092
169,12782,150.724
12782,169,150.724
170,23409,103.31
23409,170,103.31
170,171,73.598
171,170,73.598
170,7426,69.036
7426,170,69.036
172,7058,68.859
7058,172,68.859
172,19895,95.388
19895,172,95.388
172,19878,164.72199999999998
19878,172,164.72199999999998
173,174,57.321
174,173,57.321
173,2519,6.305
2519,173,6.305
173,1956,104.86
1956,173,104.86
174,2249,21.226
2249,174,21.226
174,1958,153.285
1958,174,153.285
175,5233,178.079
5233,175,178.079
176,177,43.277
177,176,43.277
176,3341,132.346
3341,176,132.346
176,13313,92.244
13313,176,92.244
177,10354,4.297
10354,177,4.297
177,13314,178.867
13314,177,178.867
178,5959,98.365
5959,178,98.365
178,23738,11.622
23738,178,11.622
178,23737,17.205
23737,178,17.205
179,10141,610.617
10141,179,610.617
179,20541,150.364
20541,179,150.364
179,21496,145.296
21496,179,145.296
180,20541,25.122
20541,180,25.122
180,181,250.534
181,180,250.534
180,23706,613.303
23706,180,613.303
182,19037,315.46999999999997
182,18975,683.854
183,24036,53.171
24036,183,53.171
183,18975,346.73199999999997
183,216,261.27599999999995
216,183,261.27599999999995
184,23799,82.568
23799,184,82.568
185,22905,7.323
22905,185,7.323
185,186,84.55
185,11374,23.739
11374,185,23.739
186,22906,10.731
22906,186,10.731
186,11137,195.127
11137,186,195.127
187,18998,16.534
18998,187,16.534
187,20205,23.239
188,23897,9.863
23897,188,9.863
188,7792,102.566
7792,188,102.566
189,1103,51.013
1103,189,51.013
189,8884,104.08800000000002
8884,189,104.08800000000002
189,219,260.142
219,189,260.142
190,191,21.186999999999998
190,12316,60.565000000000005
12316,190,60.565000000000005
191,3379,21.405
191,2670,107.976
2670,191,107.976
192,8262,112.85
8262,192,112.85
193,6152,318.29699999999997
6152,193,318.29699999999997
193,2135,191.17399999999998
2135,193,191.17399999999998
193,15273,174.415
15273,193,174.415
194,24087,1595.8789999999997
195,8379,87.319
8379,195,87.319
195,8378,240.756
8378,195,240.756
