place,address
Schomburg Center for Research in Black Culture,"515 Malcolm X Blvd Harlem, New York City, NY 10037-1801"
The Municipal Building,"Chambers and Centre streets, New York City, NY 10007-1602"
New York City Vietnam Veterans Memorial Plaza,"55 Water St, New York City, NY 10041-0004"
Barney's,"660 Madison Ave., New York City, NY"
The Armory (Track),"216 Fort Washington Ave, New York City, NY 10032-1322"
New York Transit Museum,"89 E 42nd St Grand Central Terminal, New York City, NY 10017-5503"
Swedish Cottage Marionette Theatre,"West 79th Street, New York City, NY 10023"
Helmsley Building,"230 Park Ave, New York City, NY 10169-0005"
Tompkins Square Park,"From 7th To 10th Streets Between Avenues A and B, New York City, NY 10009"
Antioch Baptist Church,"515 W. 125th St Rev. Dr. Alfloyd Alston Way, New York City, NY 10027-3402"
Church of Saint Vincent Ferrer,"869 Lexington Ave, New York City, NY 10065-6648"
