id,lng,lat,depth,order
845,-87.6698712,41.9834811,1,10451
846,-87.6687663,41.9834973,20,31574
847,-87.6649558,41.9835535,6,27078
848,-87.6613538,41.9836107,2,12260
849,-87.6612927,41.9817852,4,23216
850,-87.6611921,41.9781315,3,20820
851,-87.6624033,41.9781167,7,27628
852,-87.6624499,41.9799403,4,25724
853,-87.6625557,41.9835916,3,21728
854,-87.6637592,41.9835725,2,20316
855,-87.6636946,41.981748,5,25900
856,-87.6636431,41.9799216,1,12261
857,-87.6635787,41.978095,2,21288
858,-87.6650515,41.9866791,22,31694
859,-87.6648766,41.9808143,1,7499
860,-87.6683488,41.980757,4,23543
861,-87.6648239,41.9789908,1,2950
862,-87.6683126,41.9789366,2,15931
863,-87.6697395,41.9789153,1,10452
864,-87.6721364,41.9788784,12,30287
865,-87.6744003,41.9788436,1,9776
866,-87.6649283,41.9826028,2,8796
867,-87.6683877,41.9771091,2,12262
868,-87.6746068,41.9833647,24,31774
869,-87.6766046,41.9832857,2,16883
870,-87.6722472,41.982525,8,28659
871,-87.6745858,41.9824939,3,20317
872,-87.672193,41.9807082,3,23217
873,-87.6745321,41.9806754,2,14891
874,-87.6747115,41.9907123,30,31950
875,-87.6746493,41.9866879,2,15932
876,-87.6744111,41.9761024,8,29121
877,-87.6740633,41.9651753,1,16884
878,-87.6740235,41.9633484,2,20821
879,-87.6741627,41.9688187,7,27844
880,-87.6743098,41.9733438,6,27312
881,-87.6696868,41.9770898,4,24410
882,-87.6720964,41.9770566,5,24658
883,-87.6744374,41.9770186,2,10453
884,-87.679565,41.9820433,4,24138
885,-87.679503,41.9796723,6,26677
886,-87.6742395,41.9717968,1,8797
887,-87.672677,41.9718144,3,21729
888,-87.6711193,41.9718265,1,14892
889,-87.669428,41.9718512,4,23218
890,-87.6741257,41.9669955,13,30685
891,-87.6725443,41.9670132,2,18521
892,-87.67097,41.9670308,3,23544
893,-87.6694307,41.9670481,9,29443
894,-87.6678464,41.9670658,2,9777
895,-87.6678259,41.9662323,1,18
896,-87.6675916,41.9561486,7,27200
897,-87.6676804,41.9597976,6,25901
898,-87.6677947,41.9652588,1,8363
899,-87.6546427,41.9584268,23,31722
900,-87.6530398,41.9584472,21,31609
901,-87.6560212,41.9584059,5,24909
902,-87.6561285,41.9582541,1,2951
903,-87.656241,41.9582205,1,5880
904,-87.6562568,41.9586048,2,9432
905,-87.656138,41.9544666,2,16885
906,-87.6540598,41.9600941,2,16886
907,-87.6498768,41.9603724,6,26678
908,-87.6521661,41.9603374,5,25543
909,-87.6498931,41.9609499,1,5379
910,-87.6468368,41.9610003,2,12263
911,-87.6512117,41.9618163,2,9778
912,-87.6511812,41.9607734,1,19
913,-87.6440428,41.8792586,4,25135
914,-87.6411411,41.8792942,3,21289
915,-87.6425658,41.8792794,6,27741
916,-87.6396562,41.8793069,4,25725
917,-87.6440868,41.8805324,16,31280
918,-87.6411801,41.880567,4,24910
919,-87.6426019,41.8805412,3,21730
920,-87.63968,41.8805983,1,12264
921,-87.6498467,41.9593021,3,20822
922,-87.6516738,41.9592786,1,5380
923,-87.6463505,41.9579187,1,5381
924,-87.6498055,41.9578365,8,28278
925,-87.6390846,41.8624648,1,12265
926,-87.6385392,41.8527948,1,9779
927,-87.6318804,41.8577598,3,22142
928,-87.6257953,41.8657672,5,24659
929,-87.6173091,41.8732389,5,23219
930,-87.6369992,41.8907461,5,25726
931,-87.6370194,41.8915431,3,21731
932,-87.6370403,41.8923682,32,31991
933,-87.63709,41.8939592,1,14893
934,-87.6371439,41.8955545,2,18522
935,-87.6450264,41.952539,14,30744
936,-87.6445731,41.9504649,3,17746
937,-87.6419895,41.9461125,2,13694
938,-87.6412867,41.9448255,3,14894
939,-87.6395096,41.9423459,4,23220
940,-87.6391831,41.9408943,1,5881
941,-87.6386058,41.9399314,1,10454
942,-87.6396813,41.9422054,2,19175
943,-87.6224114,41.8478913,11,30409
944,-87.6268182,41.8473199,4,22143
945,-87.6311436,41.8529346,1,10455
946,-87.6311528,41.850453,1,8510
947,-87.6206651,41.8529785,1,12266
948,-87.6191348,41.8527023,3,17747
949,-87.6168511,41.847976,1,6808
950,-87.6173896,41.8478443,6,26950
951,-87.6238069,41.8527955,2,13695
952,-87.6222339,41.8528128,5,26254
953,-87.6206629,41.8528332,8,28804
954,-87.6192606,41.8526428,1,10456
955,-87.617863,41.848651,1,2424
956,-87.6177821,41.8484901,2,14895
957,-87.630578,41.8431915,1,8511
958,-87.6313313,41.8389021,1,5882
959,-87.6150444,41.8550818,1,8512
960,-87.7318617,41.8736567,1,5883
961,-87.6812261,41.875357,1,6809
962,-87.6727373,41.8754474,1,5884
963,-87.6617996,41.8755828,1,6810
964,-87.6427125,41.8844346,2,17748
965,-87.6426772,41.8831725,3,24411
966,-87.6412262,41.8818505,2,18523
967,-87.6412664,41.883177,8,29910
