id,lng,lat,depth,order
47539,-74.0847888,40.6150981,2,31403
47540,-74.0890417,40.6175854,1,2751
47541,-74.0871507,40.6119617,1,2752
47542,-74.0866961,40.6126192,2,27090
47543,-74.0998929,40.6075281,1,3850
47544,-74.0904492,40.6078623,2,24717
47545,-74.0766657,40.5982759,2,22076
47546,-74.0771387,40.5998494,2,20255
47547,-74.0760812,40.5979048,1,14227
47548,-74.0905058,40.5801528,1,2753
47549,-74.0980646,40.5791554,3,40627
47550,-74.2014784,40.5539828,4,36975
47551,-74.1843473,40.5631515,4,32775
47552,-74.1854558,40.5637062,1,2754
47553,-74.1851601,40.5637349,2,17235
47554,-74.1850241,40.5637482,3,24718
47555,-74.1848325,40.5637668,1,2755
47556,-74.1850778,40.564068,2,23199
47557,-74.185509,40.5640726,1,2756
47558,-74.1849429,40.5640819,1,2757
47559,-73.707364,40.7547185,2,22077
47560,-73.7085731,40.7555825,4,35069
47561,-73.7301458,40.7466823,1,2758
47562,-73.7307145,40.7480973,2,6448
47563,-73.9303259,40.8193164,36,56513
47564,-74.1214814,40.5717367,1,8694
47565,-74.1212218,40.5720037,4,40628
47566,-74.1213616,40.5720783,2,25076
47567,-74.1213534,40.5722327,10,53435
47568,-74.2189919,40.5372484,1,2759
47569,-73.7721933,40.717723,2,29798
47570,-73.77425,40.7184923,6,46910
47571,-73.7743531,40.7186829,2,23702
47572,-73.9323293,40.6278931,3,42235
47573,-73.9255143,40.6423786,2,31404
47574,-73.9016574,40.668412,6,49662
47575,-73.8450374,40.6993635,1,16817
47576,-73.8415712,40.7011089,18,55500
47577,-73.837357,40.703941,1,6449
47578,-73.8527052,40.7076398,1,2760
47579,-73.8429538,40.7209179,1,16077
47580,-73.8428695,40.7210455,2,36061
47581,-73.845051,40.721852,7,49772
47582,-73.8449668,40.7219609,1,8695
47583,-73.84769,40.7228641,2,36976
47584,-73.8581959,40.7283952,7,49991
47585,-73.9004222,40.7046634,3,38571
47586,-73.9754893,40.6382704,3,42744
47587,-73.7354436,40.6709226,1,17694
47588,-74.0359531,40.6388074,4,37825
47589,-73.7239839,40.7676618,1,3851
47590,-74.0957293,40.5635543,1,2761
47591,-74.1008486,40.5642817,1,6450
47592,-73.740846,40.7628572,1,2762
47593,-73.7373246,40.7638623,4,41756
47594,-73.7397793,40.7643996,1,2763
47595,-74.1080475,40.5669536,1,6451
47596,-74.1076697,40.56743,3,35070
47597,-74.1081707,40.560743,1,2764
47598,-74.1124404,40.5591414,1,2765
47599,-74.1131063,40.5593831,2,24719
47600,-74.1873224,40.54068,4,42236
47601,-74.1864828,40.5409147,2,25899
47602,-74.1876247,40.5413432,6,47351
47603,-74.1899815,40.5429577,1,2766
47604,-74.1902153,40.5436689,1,3852
47605,-74.1275148,40.5672076,1,6452
47606,-74.1915213,40.5503877,2,14811
47607,-74.1226297,40.5561959,1,2767
47608,-73.7996206,40.7118461,1,2768
47609,-73.8003471,40.7129738,3,35071
47610,-73.8051995,40.713754,1,2769
47611,-73.8042256,40.7139746,1,2770
47612,-74.1410721,40.54423,1,17695
47613,-74.1404288,40.5447232,4,36977
47614,-74.1398619,40.5451354,2,22078
47615,-74.1871801,40.5255457,10,51200
47616,-74.1684107,40.5255587,3,31405
47617,-74.1803058,40.5261165,18,55239
47618,-74.1855036,40.5261265,2,26485
47619,-74.1860158,40.5268743,1,4752
47620,-74.180789,40.527133,4,40005
47621,-74.1856654,40.5279739,1,2771
47622,-74.1872021,40.528491,4,36978
47623,-74.1824138,40.5291348,5,41202
47624,-74.1868345,40.5295993,1,3853
47625,-74.154147,40.5551477,1,2772
47626,-74.1500556,40.5508675,1,15868
47627,-73.8051854,40.7271169,2,31406
47628,-74.143156,40.542216,1,3854
47629,-74.1432741,40.5423076,2,6453
47630,-73.8192634,40.7262476,1,2773
47631,-74.1840595,40.5542846,10,51305
47632,-74.1841582,40.5543891,8,51102
47633,-74.1709391,40.5409798,1,2774
47634,-74.1706475,40.5410739,1,2775
47635,-74.1713119,40.5415357,1,2776
47636,-74.1742534,40.5417159,1,3855
47637,-74.1744861,40.5418145,2,6454
47638,-74.1666293,40.5485516,1,2777
47639,-73.9907027,40.5793394,1,2778
47640,-73.9688194,40.5762786,1,23200
47641,-73.7921835,40.7350748,2,29799
47642,-73.7949857,40.7364015,1,12795
47643,-73.9633091,40.5840531,18,55355
47644,-73.9573326,40.5825157,4,40006
47645,-73.9581877,40.5773501,1,2779
47646,-74.0191602,40.6292771,4,41757
47647,-73.7203621,40.7254301,4,43983
47648,-73.7182709,40.7259951,2,27810
47649,-73.7158528,40.7264814,1,4753
47650,-73.710252,40.7272142,1,2780
47651,-73.820963,40.7458408,2,6455
47652,-73.8141585,40.7461446,7,49992
47653,-73.9397739,40.5837723,4,37826
47654,-73.7791502,40.738547,6,47953
47655,-73.7787217,40.7388813,2,26647
47656,-73.7809263,40.7391983,6,47760
47657,-73.7804622,40.7404894,3,45000
47658,-73.7796934,40.7406957,1,18162
47659,-73.7797614,40.7408345,2,29800
47660,-73.7786982,40.7409739,4,45304
47661,-73.7783064,40.7413763,1,20194
47662,-73.8036112,40.7217135,3,37827
47663,-73.78894,40.7263262,1,8696
47664,-73.7911503,40.7308088,1,2781
47665,-73.8210196,40.7203297,2,25900
47666,-74.1319181,40.6070093,2,22079
47667,-73.8546308,40.7110534,4,37828
47668,-73.8555597,40.7111978,5,43611
47669,-73.8567563,40.7138405,2,24012
47670,-73.7415634,40.7011469,2,40007
47671,-73.7400016,40.7012125,1,8697
47672,-73.7473921,40.7173725,5,45305
47673,-73.7482225,40.7189007,3,36979
47674,-73.7979604,40.7744282,2,27091
47675,-73.8084249,40.7833449,1,15869
47676,-73.8173331,40.7988213,1,2782
47677,-73.8504382,40.8914047,1,8698
47678,-73.8524216,40.8931743,1,9967
47679,-73.8520181,40.8932485,2,26648
47680,-73.9080516,40.6666345,1,2783
47681,-73.9792877,40.6997002,1,2784
47682,-73.94822,40.6135301,1,14812
47683,-73.9473932,40.6140934,2,27092
47684,-73.9445867,40.6160845,1,12796
47685,-73.9474423,40.6143709,1,24720
47686,-73.9667954,40.6048004,2,36062
47687,-73.9034732,40.6941101,1,2785
47688,-73.9198629,40.68824,1,8699
47689,-73.7618898,40.7516326,2,27093
47690,-73.7623924,40.7518267,1,9968
47691,-73.763987,40.7521067,1,12797
47692,-73.7636745,40.7522313,1,16818
47693,-73.7637414,40.7522982,2,29801
47694,-73.7752534,40.7704191,1,2786
47695,-73.7716579,40.7807022,1,2787
47696,-73.8022352,40.771415,1,8700
47697,-73.9579024,40.644053,30,56386
47698,-73.9941372,40.7158403,1,2788
47699,-73.9421159,40.7008329,1,8701
47700,-73.9003334,40.7033303,1,2789
47701,-73.8459014,40.7159448,1,6456
47702,-73.8463936,40.716182,2,24721
47703,-73.8484739,40.7186113,1,4754
47704,-73.8579732,40.7287477,15,54849
47705,-73.8553067,40.7208107,1,8702
47706,-73.8572772,40.7215178,4,38572
47707,-73.8574046,40.7218604,3,23201
47708,-73.8438943,40.7159723,1,6457
47709,-73.8451443,40.7312437,1,6458
47710,-73.8450808,40.731341,2,18163
47711,-73.8484192,40.7367646,1,8703
47712,-73.8825648,40.7476683,2,24722
47713,-73.8860551,40.713216,1,2790
47714,-73.8564873,40.7413619,1,2791
47715,-73.8558195,40.7418293,1,2792
47716,-73.8266873,40.7260317,2,25901
47717,-73.8015313,40.7073161,1,2793
47718,-73.9401615,40.643779,4,42237
47719,-74.1243125,40.6147987,1,2794
47720,-74.1236316,40.6175118,7,50693
47721,-74.1305964,40.6190581,2,22080
47722,-74.1306735,40.6196595,1,2795
47723,-74.12472,40.6211844,1,2796
47724,-74.1242929,40.6223671,2,26486
47725,-74.1309386,40.6125987,1,12798
47726,-74.1194429,40.6133202,8,50786
47727,-74.1196036,40.6145659,1,6459
47728,-74.1196434,40.6148868,2,22081
47729,-74.1323912,40.6135123,4,42238
47730,-74.1329579,40.6135625,1,2797
47731,-74.1350918,40.6137466,4,42745
47732,-74.1352533,40.6149431,2,33977
47733,-74.1390098,40.6161928,1,16819
47734,-74.1878541,40.5879437,1,8704
47735,-74.085701,40.6366124,7,47352
47736,-74.0893918,40.6400432,9,51739
47737,-74.0814651,40.6258035,1,2798
47738,-73.8863764,40.7649676,1,14228
47739,-73.9703005,40.595932,1,2799
47740,-73.8074026,40.7031674,3,32776
47741,-73.7788085,40.7016553,1,2800
47742,-73.7782945,40.7023438,1,3856
47743,-73.7707625,40.7043779,4,44667
47744,-74.004076,40.6614617,1,2801
47745,-73.8253955,40.7425976,1,22082
47746,-73.9314173,40.8252664,4,39308
47747,-73.8506147,40.7468358,1,2802
47748,-73.9315039,40.8252565,3,28056
47749,-73.9286851,40.8248755,2,24013
47750,-74.2307572,40.5043309,2,6460
47751,-74.2295066,40.5045833,1,2803
47752,-74.2297096,40.5051861,2,23202
47753,-74.2292349,40.5052795,3,29802
47754,-74.0771891,40.5995849,2,29803
47755,-74.0767745,40.6002141,1,6461
47756,-74.076368,40.6009837,5,47556
47757,-74.0766425,40.6021459,11,53388
47758,-74.1233116,40.6359304,5,39309
47759,-74.1225743,40.6362002,1,2804
47760,-73.9935424,40.6267651,10,53476
47761,-73.9957433,40.6280943,1,14813
47762,-73.9963379,40.6284534,2,41203
47763,-73.9979439,40.6294232,3,44668
47764,-74.000146,40.6307531,5,48975
47765,-74.0023482,40.6320829,2,38573
47766,-74.0045533,40.6334146,1,6462
47767,-74.0048253,40.6335788,8,52322
47768,-74.0067544,40.6347437,1,22083
47769,-74.008955,40.6360726,3,46142
47770,-74.0111572,40.6374023,1,41758
47771,-74.0133597,40.6387323,12,54001
47772,-74.01556,40.6400635,2,42239
47773,-74.0177579,40.6413932,4,45861
47774,-74.0178742,40.6414635,3,45306
47775,-74.0196297,40.6425256,1,12799
47776,-73.8657303,40.6805725,7,48468
47777,-73.9473115,40.7564301,7,48976
47778,-73.9464171,40.7560402,1,6463
47779,-74.002894,40.680559,2,35072
47780,-74.1504852,40.5372342,1,5762
47781,-74.153379,40.5348546,1,4755
47782,-74.147145,40.5410372,12,53885
47783,-74.1414552,40.5464519,1,12800
47784,-74.1489881,40.5386899,2,24723
47785,-74.1331217,40.5523038,1,14814
47786,-74.1507459,40.5371245,1,4756
47787,-74.1386084,40.5484424,2,32777
47788,-74.1520376,40.536011,4,37829
47789,-74.1500582,40.5377172,10,51400
47790,-74.1493922,40.5383458,1,5763
47791,-74.1526331,40.5354976,2,25902
47792,-74.1481717,40.5398024,2,31407
47793,-74.133245,40.5523933,3,36063
47794,-74.1436481,40.5447758,1,14815
47795,-74.1584763,40.5305365,4,42746
47796,-74.1413567,40.5463865,2,33978
47797,-74.1545472,40.5337474,1,6464
47798,-74.1346422,40.5513255,1,4071
47799,-74.1395087,40.5479102,17,55175
47800,-74.1485069,40.5392642,3,33979
47801,-74.1403967,40.5471119,18,55209
47802,-74.1525903,40.535424,1,6465
47803,-74.1393725,40.5478633,1,14816
47804,-74.155573,40.5326446,3,29804
47805,-74.1550437,40.5332084,9,51306
47806,-74.1520718,40.5358699,3,35073
47807,-74.144502,40.543913,10,51648
47808,-74.1495482,40.5380399,1,4072
